$HAR,420268043,-936532507,269001,13.78,990.12,17.74,#
$HAR,420267814,-936532367,276371,13.76,990.08,17.77,#
$HAR,420267566,-936532651,268763,13.75,990.1,17.75,#
$HAR,420267666,-936532667,263832,13.74,990.13,17.77,#
$HAR,420267719,-936532709,261880,13.74,990.09,17.72,#
$HAR,420267740,-936532766,260844,13.72,990.08,17.74,#
$HAR,420267775,-936532814,259362,13.71,990.11,17.76,#
$HAR,420267801,-936532870,257420,13.7,990.09,17.79,#
$HAR,420267839,-936532914,255273,13.69,990.09,17.77,#
$HAR,420267776,-936532945,254755,13.68,990.06,17.76,#
$HAR,420267681,-936532933,255154,13.62,990.03,17.9,#
$HAR,420267594,-936532928,255271,13.57,990.04,17.91,#
$HAR,420267555,-936532931,255344,13.55,990.07,17.95,#
$HAR,420267521,-936532916,256294,13.51,990.03,17.95,#
$HAR,420267474,-936532886,257450,13.47,990.06,17.89,#
$HAR,420267434,-936532812,258903,13.44,990.08,18.01,#
$HAR,420267393,-936532754,260267,13.4,990.04,18.05,#
$HAR,420267349,-936532692,261623,13.38,990.05,18.07,#
$HAR,420267305,-936532616,264057,13.36,990.05,18.07,#
$HAR,420267237,-936532551,265882,13.34,990.1,18.05,#
$HAR,420267169,-936532517,267343,13.34,990.09,18.07,#
$HAR,420267139,-936532515,268098,13.32,990.09,18.08,#
$HAR,420267101,-936532527,268624,13.32,990.09,18.08,#
$HAR,420267111,-936532512,267794,13.29,990.12,18.05,#
$HAR,420267122,-936532509,266996,13.29,990.1,18.09,#
$HAR,420267147,-936532498,266410,13.26,990.1,18.15,#
$HAR,420267157,-936532492,265733,13.25,990.08,18.17,#
$HAR,420267183,-936532492,265343,13.24,990.14,18.18,#
$HAR,420267198,-936532480,265203,13.23,990.13,18.2,#
$HAR,420267206,-936532461,265375,13.23,990.12,18.17,#
$HAR,420267210,-936532440,265446,13.23,990.13,18.23,#
$HAR,420267209,-936532437,265827,13.22,990.09,18.26,#
$HAR,420267192,-936532436,266473,13.2,990.11,18.28,#
$HAR,420267151,-936532435,267601,13.19,990.09,18.38,#
$HAR,420267097,-936532439,268751,13.18,990.08,18.49,#
$HAR,420267039,-936532448,269748,13.15,990.1,18.46,#
$HAR,420266998,-936532454,270329,13.14,990.07,18.41,#
$HAR,420266970,-936532447,271338,13.14,990.11,18.35,#
$HAR,420266958,-936532442,272413,13.12,990.08,18.3,#
